0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4.775,1.401,8.5,4.258,7.364,0.652,8.922,6.308,0.918,54.037,0.706,0.333,0.523,0.068,0.068,0.742,0.659,19.114,3.091,3
4.753,1.438,8.111,4.546,7.075,0.767,6.554,4.635,0.938,61.12,0.699,0.431,0.431,0.098,0.098,0.804,0.818,14.727,2.714,3
4.719,1.304,8.0,2.912,6.831,0.616,9.221,6.52,0.91,50.12,0.652,0.308,0.548,0.055,0.055,0.699,0.556,13.889,2.635,3
4.408,1.367,16.333,6.915,6.985,0.684,6.768,4.786,0.917,46.491,0.653,0.25,0.484,0.109,0.109,0.766,0.875,12.25,2.475,1
4.78,1.383,15.0,6.575,8.897,0.591,10.983,7.766,0.91,53.828,0.69,0.252,0.508,0.063,0.063,0.702,0.633,24.067,3.469,5
4.547,1.258,7.111,2.026,5.409,0.742,8.397,5.938,0.939,69.554,0.648,0.301,0.506,0.108,0.108,0.831,0.84,17.64,2.97,3
4.853,1.363,12.5,5.372,8.914,0.54,9.353,6.614,0.892,42.006,0.717,0.4,0.465,0.065,0.065,0.586,0.512,22.512,3.355,4
4.291,1.288,14.632,5.312,6.123,0.5,8.337,5.895,0.877,35.128,0.59,0.329,0.482,0.079,0.079,0.616,0.704,26.741,3.657,2
5.08,1.432,13.889,6.724,10.415,0.752,8.408,5.945,0.941,72.422,0.704,0.295,0.511,0.057,0.057,0.807,0.731,13.885,2.635,5
4.746,1.467,17.55,8.568,8.999,0.541,10.141,7.171,0.895,44.857,0.59,0.237,0.594,0.053,0.053,0.71,0.735,26.449,3.637,5
4.122,1.305,13.1,4.922,4.942,0.618,7.077,5.004,0.901,40.169,0.557,0.288,0.521,0.068,0.068,0.699,0.762,12.19,2.469,2
4.303,1.277,8.563,2.822,4.753,0.595,9.847,6.963,0.907,49.956,0.639,0.32,0.434,0.063,0.063,0.709,0.661,24.446,3.496,3
5.223,1.515,10.3,6.299,10.472,0.854,8.671,6.131,0.966,127.367,0.699,0.278,0.569,0.069,0.069,0.903,0.9,16.2,2.846,3
4.445,1.286,9.1,3.13,5.751,0.648,8.747,6.185,0.917,52.523,0.615,0.277,0.518,0.071,0.071,0.759,0.871,23.516,3.429,3
4.616,1.402,10.933,5.223,7.249,0.701,8.98,6.35,0.93,63.433,0.598,0.306,0.592,0.031,0.031,0.878,0.9,24.3,3.486,4
4.434,1.355,13.818,5.791,6.801,0.632,7.787,5.506,0.909,45.336,0.625,0.337,0.421,0.095,0.095,0.779,0.75,18.0,3.0,2
4.582,1.338,9.0,3.706,6.48,0.649,9.733,6.883,0.92,57.426,0.68,0.235,0.575,0.098,0.098,0.706,0.694,17.361,2.946,3
4.679,1.376,13.941,6.078,8.187,0.591,9.094,6.43,0.904,46.389,0.654,0.277,0.484,0.071,0.071,0.71,0.767,25.326,3.558,2
4.832,1.473,12.222,6.555,8.74,0.632,9.371,6.627,0.915,53.03,0.7,0.26,0.545,0.052,0.052,0.74,0.7,19.6,3.13,1
4.466,1.397,9.522,4.611,6.01,0.635,9.393,6.642,0.916,53.562,0.626,0.387,0.401,0.117,0.117,0.73,0.623,20.547,3.205,5
4.963,1.5,12.667,7.05,9.558,0.637,8.778,6.207,0.914,50.971,0.647,0.301,0.553,0.024,0.024,0.732,0.838,25.973,3.604,5
4.711,1.369,12.417,5.408,8.106,0.678,8.274,5.851,0.922,54.779,0.604,0.367,0.511,0.056,0.056,0.789,0.848,23.758,3.447,5
4.823,1.411,15.909,7.269,9.251,0.68,8.996,6.361,0.925,59.223,0.617,0.222,0.574,0.074,0.074,0.824,0.917,20.167,3.175,5
4.573,1.403,15.5,7.013,7.805,0.677,7.543,5.334,0.919,50.408,0.637,0.278,0.506,0.076,0.076,0.797,0.773,13.136,2.563,2
4.808,1.389,17.071,7.459,9.292,0.569,8.797,6.22,0.897,42.806,0.686,0.348,0.427,0.11,0.11,0.646,0.544,16.86,2.903,1
4.455,1.419,11.0,5.446,6.365,0.551,7.746,5.477,0.887,36.871,0.601,0.261,0.546,0.05,0.05,0.613,0.645,12.903,2.54,2
4.925,1.417,15.0,6.977,9.708,0.583,9.037,6.39,0.902,45.306,0.667,0.269,0.512,0.069,0.069,0.656,0.674,19.558,3.127,5
4.382,1.358,15.0,6.279,6.677,0.618,7.941,5.615,0.906,44.473,0.618,0.363,0.441,0.069,0.069,0.755,0.757,21.189,3.255,2
4.479,1.375,16.0,6.875,7.344,0.715,8.583,6.069,0.933,64.105,0.653,0.33,0.426,0.085,0.085,0.766,0.774,18.581,3.048,1
4.548,1.412,16.286,7.426,7.762,0.64,9.669,6.837,0.918,55.719,0.618,0.319,0.461,0.092,0.092,0.801,0.778,27.222,3.689,1
4.337,1.337,21.0,8.38,6.993,0.433,6.866,4.855,0.848,26.261,0.587,0.25,0.514,0.068,0.068,0.52,0.541,10.811,2.325,2
4.474,1.31,15.6,5.955,7.269,0.605,11.95,8.45,0.916,59.432,0.613,0.31,0.427,0.117,0.117,0.782,0.77,43.905,4.685,2
4.633,1.429,9.8,5.089,7.03,0.633,9.903,7.002,0.917,55.558,0.637,0.288,0.571,0.077,0.077,0.744,0.711,22.756,3.373,4
4.451,1.333,11.333,4.563,6.425,0.686,6.931,4.901,0.919,47.944,0.637,0.246,0.662,0.031,0.031,0.738,0.75,9.0,2.121,3
4.547,1.44,9.375,5.058,6.413,0.76,6.582,4.654,0.936,59.563,0.68,0.196,0.686,0.039,0.039,0.804,0.9,8.1,2.012,4
4.571,1.408,9.8,4.848,6.688,0.806,7.98,5.643,0.953,88.586,0.643,0.365,0.444,0.048,0.048,0.857,0.87,17.391,2.949,5
4.368,1.25,17.0,5.79,6.83,0.386,6.367,4.502,0.83,22.755,0.581,0.386,0.437,0.089,0.089,0.449,0.426,11.082,2.354,1
4.349,1.264,13.069,4.42,6.203,0.349,11.774,8.325,0.85,34.031,0.693,0.273,0.582,0.067,0.067,0.42,0.34,24.786,3.52,1
4.798,1.484,13.313,7.108,8.75,0.606,8.839,6.25,0.906,47.096,0.667,0.239,0.57,0.049,0.049,0.718,0.735,18.382,3.032,1
4.672,1.374,15.13,6.519,8.316,0.552,10.292,7.278,0.898,46.479,0.624,0.332,0.548,0.051,0.051,0.622,0.625,28.125,3.75,5
4.64,1.393,13.636,6.17,7.921,0.793,9.716,6.87,0.954,98.656,0.66,0.242,0.646,0.03,0.03,0.879,0.708,12.042,2.454,4
4.765,1.376,12.375,5.476,8.398,0.558,11.106,7.853,0.902,49.962,0.654,0.317,0.494,0.1,0.1,0.641,0.585,28.098,3.748,5
4.536,1.324,12.087,4.744,7.062,0.626,10.436,7.379,0.917,56.803,0.651,0.337,0.525,0.061,0.061,0.735,0.721,31.738,3.984,4
4.827,1.462,12.659,6.603,8.794,0.541,12.335,8.722,0.902,51.815,0.649,0.255,0.537,0.065,0.065,0.659,0.64,35.174,4.194,5
4.82,1.453,10.692,5.728,8.328,0.755,8.906,6.297,0.943,77.213,0.647,0.289,0.522,0.067,0.067,0.833,0.923,22.154,3.328,4
4.556,1.254,7.0,1.937,5.391,0.746,5.921,4.187,0.929,50.595,0.73,0.217,0.609,0.043,0.043,0.761,0.9,8.1,2.012,3
4.364,1.328,19.0,7.495,6.994,0.501,10.92,7.722,0.888,43.334,0.602,0.297,0.469,0.108,0.108,0.643,0.624,33.047,4.065,1
4.541,1.312,8.385,3.161,6.01,0.761,7.95,5.621,0.942,71.654,0.67,0.384,0.507,0.041,0.041,0.863,0.857,20.571,3.207,3
4.6,1.39,16.667,7.312,8.092,0.72,7.2,5.091,0.929,55.676,0.61,0.279,0.492,0.066,0.066,0.77,0.824,11.529,2.401,2
4.574,1.333,10.75,4.336,6.967,0.667,7.572,5.354,0.917,48.934,0.651,0.298,0.536,0.071,0.071,0.738,0.72,12.96,2.546,3
4.506,1.307,7.545,2.778,5.421,0.717,9.236,6.531,0.935,68.617,0.675,0.25,0.571,0.116,0.116,0.795,0.786,17.286,2.94,3
4.603,1.406,15.267,6.956,7.944,0.55,8.326,5.888,0.89,39.15,0.629,0.319,0.424,0.09,0.09,0.66,0.739,25.13,3.545,1
4.612,1.396,19.526,8.501,8.418,0.609,11.733,8.297,0.916,59.278,0.598,0.306,0.482,0.068,0.068,0.784,0.824,46.118,4.802,1
4.608,1.382,9.789,4.532,6.886,0.575,7.846,5.548,0.894,39.491,0.731,0.243,0.522,0.029,0.029,0.64,0.758,18.939,3.077,3
4.64,1.403,10.692,5.134,7.324,0.748,8.821,6.238,0.941,74.359,0.662,0.25,0.457,0.13,0.13,0.859,0.609,8.522,2.064,4
4.807,1.407,12.727,5.978,8.698,0.714,8.452,5.976,0.932,63.029,0.686,0.365,0.51,0.052,0.052,0.802,0.714,17.857,2.988,5
4.57,1.399,11.0,5.203,7.009,0.633,10.703,7.568,0.919,59.07,0.664,0.263,0.5,0.058,0.058,0.705,0.66,21.78,3.3,4
4.797,1.35,9.84,4.173,7.958,0.614,9.627,6.808,0.911,51.579,0.675,0.361,0.452,0.048,0.048,0.675,0.717,30.817,3.925,4
4.584,1.306,13.962,5.263,7.659,0.653,12.439,8.796,0.928,70.131,0.716,0.169,0.665,0.046,0.046,0.765,0.818,29.455,3.838,1
4.517,1.347,13.364,5.516,7.19,0.66,8.0,5.657,0.917,50.341,0.633,0.237,0.634,0.011,0.011,0.763,0.773,13.136,2.563,4
4.296,1.302,19.889,7.526,6.684,0.631,8.446,5.972,0.911,48.583,0.609,0.358,0.422,0.11,0.11,0.78,0.795,24.641,3.51,1
4.778,1.444,9.0,4.964,7.571,1.0,3.0,2.121,1.0,48277.958,0.778,0.0,0.857,0.143,0.143,1.0,0.0,0.0,0.0,1
4.665,1.248,8.313,2.38,6.672,0.594,9.688,6.85,0.907,49.203,0.756,0.269,0.448,0.035,0.035,0.627,0.537,15.574,2.791,3
4.633,1.339,9.707,3.998,7.004,0.621,12.381,8.755,0.92,63.625,0.641,0.294,0.522,0.075,0.075,0.749,0.64,30.72,3.919,4
4.71,1.456,15.786,7.75,8.605,0.368,13.401,9.476,0.861,38.335,0.605,0.297,0.464,0.096,0.096,0.499,0.458,49.92,4.996,1
4.674,1.302,8.6,3.131,6.841,0.798,9.069,6.412,0.954,95.434,0.62,0.3,0.5,0.063,0.063,0.938,1.0,24.0,3.464,4
4.421,1.333,12.6,5.057,6.518,0.651,7.305,5.166,0.911,45.207,0.627,0.304,0.481,0.076,0.076,0.772,0.875,18.375,3.031,1
4.333,1.348,17.625,7.184,6.701,0.66,7.832,5.538,0.916,49.367,0.603,0.306,0.471,0.082,0.082,0.765,0.731,13.885,2.635,2
4.75,1.434,9.806,5.158,7.687,0.589,10.266,7.259,0.907,50.806,0.674,0.288,0.498,0.093,0.093,0.659,0.678,27.119,3.682,4
4.59,1.338,14.37,5.798,7.754,0.624,12.286,8.687,0.921,63.822,0.616,0.243,0.569,0.084,0.084,0.774,0.793,36.483,4.271,5
4.9,1.536,14.0,7.991,9.428,0.671,7.944,5.618,0.919,51.818,0.657,0.293,0.457,0.076,0.076,0.739,0.667,12.0,2.449,2
4.918,1.472,14.842,7.564,9.651,0.596,10.004,7.074,0.908,50.691,0.684,0.363,0.472,0.078,0.078,0.694,0.614,26.414,3.634,1
4.486,1.337,11.571,4.705,6.672,0.605,9.43,6.668,0.908,49.548,0.663,0.298,0.54,0.068,0.068,0.708,0.729,25.521,3.572,3
4.675,1.439,9.813,5.223,7.271,0.643,8.061,5.7,0.913,48.284,0.675,0.245,0.651,0.075,0.075,0.708,0.692,12.462,2.496,4
4.248,1.264,10.083,3.263,4.968,0.669,7.364,5.207,0.916,48.117,0.562,0.353,0.456,0.088,0.088,0.794,0.833,16.667,2.887,3
4.25,1.302,16.0,6.015,6.065,0.688,6.736,4.763,0.918,46.847,0.615,0.322,0.424,0.102,0.102,0.78,0.895,15.211,2.758,2
4.304,1.329,7.825,3.145,4.431,0.527,9.326,6.595,0.889,40.719,0.604,0.365,0.481,0.069,0.069,0.614,0.522,18.783,3.065,3
4.462,1.422,18.583,8.431,7.504,0.596,8.906,6.298,0.904,46.274,0.605,0.311,0.437,0.089,0.089,0.719,0.667,18.667,3.055,1
4.857,1.444,13.95,6.895,9.178,0.652,10.896,7.705,0.924,63.393,0.638,0.315,0.556,0.062,0.062,0.781,0.804,36.161,4.252,5
4.644,1.402,21.727,9.423,8.753,0.615,9.509,6.724,0.911,51.24,0.598,0.385,0.406,0.098,0.098,0.741,0.709,27.655,3.719,1
4.278,1.278,18.7,6.784,6.489,0.572,7.825,5.533,0.893,39.112,0.599,0.357,0.446,0.063,0.063,0.643,0.6,14.4,2.683,2
4.424,1.265,7.543,2.281,4.963,0.61,9.909,7.007,0.911,52.211,0.697,0.239,0.533,0.049,0.049,0.707,0.636,17.818,2.985,3
4.589,1.374,20.375,8.572,8.354,0.656,8.381,5.926,0.917,51.875,0.65,0.302,0.5,0.075,0.075,0.792,0.719,16.531,2.875,2
4.678,1.336,13.0,5.245,8.027,0.47,10.438,7.381,0.878,39.252,0.601,0.293,0.589,0.044,0.044,0.579,0.54,25.391,3.563,3
4.845,1.43,13.857,6.683,9.101,0.601,10.259,7.254,0.91,52.454,0.612,0.292,0.539,0.067,0.067,0.764,0.731,27.769,3.726,5
5.092,1.512,15.759,8.398,10.734,0.558,11.928,8.435,0.905,52.63,0.681,0.251,0.556,0.051,0.051,0.669,0.615,29.538,3.843,5
4.945,1.466,13.273,6.882,9.564,0.623,7.531,5.325,0.905,43.042,0.664,0.309,0.474,0.124,0.124,0.68,0.7,14.7,2.711,5
4.624,1.36,8.333,3.708,6.45,0.628,9.93,7.021,0.916,54.954,0.644,0.298,0.534,0.05,0.05,0.702,0.542,14.083,2.654,3
4.805,1.438,7.529,4.309,7.079,0.734,8.309,5.875,0.936,66.858,0.656,0.238,0.631,0.06,0.06,0.857,0.8,12.8,2.53,4
5.099,1.522,16.0,8.612,10.801,0.569,12.662,8.954,0.909,56.371,0.633,0.223,0.65,0.045,0.045,0.717,0.786,43.214,4.648,5
4.366,1.286,8.875,3.051,5.228,0.634,9.25,6.541,0.915,52.765,0.695,0.297,0.48,0.074,0.074,0.716,0.568,14.205,2.665,3
4.462,1.343,7.042,3.006,4.892,0.621,8.077,5.711,0.907,45.509,0.704,0.345,0.437,0.034,0.034,0.681,0.512,10.756,2.319,3
4.661,1.366,12.611,5.443,7.86,0.705,10.62,7.509,0.936,73.64,0.621,0.326,0.532,0.028,0.028,0.787,0.761,26.63,3.649,5
4.619,1.49,10.5,6.085,7.155,0.633,7.671,5.424,0.908,44.873,0.66,0.155,0.732,0.021,0.021,0.732,0.6,5.4,1.643,4
5.339,1.627,11.8,8.212,11.483,0.797,6.119,4.327,0.944,65.19,0.729,0.302,0.558,0.023,0.023,0.93,0.923,11.077,2.353,5
4.511,1.291,9.586,3.387,6.282,0.586,9.776,6.913,0.905,48.6,0.662,0.293,0.587,0.043,0.043,0.723,0.667,24.0,3.464,3
4.508,1.328,20.333,8.009,7.9,0.667,9.018,6.377,0.922,56.919,0.634,0.25,0.603,0.06,0.06,0.802,0.931,25.138,3.545,1
4.81,1.502,21.917,10.68,9.689,0.445,7.215,5.101,0.855,27.999,0.589,0.258,0.561,0.032,0.032,0.51,0.65,16.9,2.907,1
5.013,1.545,13.87,8.055,10.036,0.599,10.694,7.562,0.911,53.783,0.646,0.248,0.626,0.063,0.063,0.699,0.804,32.961,4.06,5
5.034,1.595,16.651,9.725,10.509,0.434,11.623,8.218,0.873,39.508,0.647,0.285,0.486,0.035,0.035,0.546,0.538,38.189,4.37,1
4.913,1.503,17.875,9.123,9.956,0.64,10.821,7.652,0.921,60.78,0.668,0.257,0.539,0.068,0.068,0.775,0.776,29.469,3.839,1
4.49,1.383,12.353,5.551,6.861,0.59,12.101,8.557,0.913,57.7,0.619,0.292,0.5,0.065,0.065,0.696,0.632,30.316,3.893,1
4.586,1.407,11.0,5.307,7.098,0.593,10.213,7.221,0.908,51.092,0.657,0.251,0.636,0.041,0.041,0.677,0.694,23.592,3.435,3
4.681,1.386,9.243,4.369,7.119,0.518,9.571,6.768,0.887,40.677,0.614,0.314,0.471,0.057,0.057,0.638,0.561,20.742,3.22,4
4.4,1.33,9.828,3.935,5.74,0.614,10.366,7.33,0.914,54.695,0.653,0.323,0.586,0.043,0.043,0.71,0.717,30.817,3.925,3
4.463,1.212,9.412,2.388,5.956,0.65,8.222,5.814,0.915,50.072,0.631,0.317,0.554,0.05,0.05,0.772,0.813,21.125,3.25,3
4.404,1.303,8.25,3.003,5.187,0.636,6.332,4.477,0.902,37.978,0.646,0.172,0.656,0.094,0.094,0.688,0.727,5.818,1.706,3
4.74,1.343,8.87,3.718,7.313,0.662,9.452,6.683,0.922,58.283,0.662,0.341,0.481,0.081,0.081,0.741,0.674,20.891,3.232,4
4.677,1.414,18.0,8.117,8.652,0.616,8.67,6.131,0.908,47.659,0.646,0.273,0.406,0.094,0.094,0.727,0.8,22.4,3.347,1
4.456,1.316,9.875,3.795,6.065,0.734,9.228,6.526,0.939,73.127,0.633,0.34,0.56,0.03,0.03,0.81,0.794,21.441,3.274,4
4.352,1.296,10.923,3.96,5.775,0.754,8.979,6.349,0.943,77.157,0.704,0.33,0.51,0.05,0.05,0.79,0.788,20.485,3.2,4
4.862,1.517,9.667,6.083,8.268,1.0,5.385,3.808,1.0,113386.812,0.655,0.368,0.526,0.053,0.053,1.0,1.0,7.0,1.871,3
4.342,1.358,13.333,5.638,6.206,0.667,7.303,5.164,0.915,47.358,0.617,0.257,0.527,0.054,0.054,0.757,0.789,11.842,2.433,2
4.53,1.394,21.455,9.227,8.096,0.555,8.527,6.03,0.892,40.377,0.597,0.27,0.582,0.071,0.071,0.695,0.842,26.947,3.671,1
4.227,1.275,15.22,5.387,5.844,0.452,12.47,8.818,0.88,42.964,0.555,0.377,0.474,0.069,0.069,0.635,0.61,59.176,5.439,2
4.614,1.419,14.0,6.615,7.833,0.648,9.385,6.636,0.919,55.551,0.624,0.244,0.58,0.023,0.023,0.794,0.75,18.0,3.0,5
4.499,1.391,15.735,6.959,7.426,0.238,10.032,7.093,0.808,25.469,0.585,0.363,0.433,0.096,0.096,0.335,0.323,39.376,4.437,2
4.3,1.25,10.0,3.06,5.234,0.639,8.572,6.061,0.914,50.253,0.606,0.339,0.459,0.101,0.101,0.734,0.649,15.568,2.79,4
5.163,1.558,13.579,8.092,10.829,0.605,9.712,6.868,0.909,50.687,0.636,0.287,0.567,0.037,0.037,0.713,0.766,27.574,3.713,5
4.641,1.38,12.909,5.732,7.803,0.655,7.804,5.519,0.915,48.542,0.641,0.297,0.626,0.0,0.0,0.758,0.778,16.333,2.858,5
4.896,1.488,11.364,6.4,8.915,0.672,7.513,5.313,0.918,49.389,0.6,0.173,0.733,0.027,0.027,0.827,0.846,9.308,2.157,3
4.535,1.38,12.9,5.723,7.21,0.597,6.779,4.794,0.894,36.567,0.605,0.256,0.513,0.141,0.141,0.628,0.65,8.45,2.055,4
4.717,1.47,21.462,10.121,9.141,0.57,9.519,6.731,0.9,45.693,0.667,0.29,0.43,0.065,0.065,0.677,0.648,22.685,3.368,1
4.649,1.377,13.13,5.785,7.887,0.579,10.07,7.121,0.904,48.887,0.626,0.265,0.566,0.042,0.042,0.656,0.7,24.5,3.5,5
4.759,1.416,17.125,7.798,9.027,0.653,10.814,7.647,0.924,63.205,0.631,0.249,0.486,0.092,0.092,0.792,0.86,31.837,3.99,5
4.89,1.488,5.857,4.25,6.434,0.573,5.19,3.67,0.874,26.634,0.598,0.224,0.653,0.041,0.041,0.653,0.455,2.273,1.066,3
5.023,1.517,13.15,7.44,9.976,0.582,9.434,6.671,0.903,46.713,0.627,0.224,0.545,0.079,0.079,0.739,0.838,25.973,3.604,1
4.681,1.426,13.429,6.468,8.115,0.713,6.911,4.886,0.925,52.213,0.574,0.241,0.648,0.019,0.019,0.815,0.769,7.692,1.961,4
4.678,1.437,10.875,5.605,7.582,0.77,7.183,5.079,0.942,67.681,0.621,0.333,0.519,0.056,0.056,0.833,0.833,12.5,2.5,3
4.509,1.366,10.286,4.537,6.484,0.657,9.662,6.832,0.922,58.553,0.616,0.331,0.541,0.038,0.038,0.767,0.682,20.455,3.198,5
4.35,1.314,15.222,5.85,6.531,0.62,7.262,5.135,0.903,41.349,0.591,0.259,0.531,0.062,0.062,0.741,0.857,15.429,2.777,2
4.518,1.356,9.656,4.177,6.344,0.644,11.321,8.005,0.923,63.674,0.667,0.306,0.505,0.063,0.063,0.738,0.651,26.683,3.653,4
4.472,1.333,10.25,4.141,6.263,0.691,7.664,5.419,0.923,53.411,0.74,0.253,0.396,0.143,0.143,0.747,0.609,8.522,2.064,3
4.256,1.24,8.6,2.4,4.506,0.682,7.748,5.479,0.921,52.413,0.589,0.368,0.539,0.079,0.079,0.776,0.821,18.893,3.074,3
4.395,1.336,11.692,4.729,6.191,0.599,7.381,5.219,0.898,39.663,0.618,0.287,0.457,0.053,0.053,0.702,0.741,14.815,2.722,2
4.516,1.367,15.808,6.71,7.526,0.562,11.394,8.057,0.904,51.408,0.62,0.29,0.463,0.125,0.125,0.694,0.662,32.446,4.028,1
4.506,1.395,16.867,7.452,7.588,0.561,8.927,6.313,0.896,42.524,0.628,0.308,0.497,0.075,0.075,0.635,0.592,17.163,2.929,2
4.277,1.354,13.0,5.455,5.788,0.654,7.455,5.271,0.913,46.453,0.615,0.275,0.512,0.063,0.063,0.738,0.773,13.136,2.563,2
4.764,1.463,12.571,6.577,8.43,0.548,10.287,7.274,0.898,46.088,0.611,0.367,0.447,0.056,0.056,0.688,0.734,42.582,4.614,2
5.2,1.555,12.578,7.662,10.861,0.571,13.577,9.6,0.912,59.509,0.668,0.288,0.545,0.029,0.029,0.68,0.651,46.248,4.809,5
4.887,1.471,13.308,6.959,9.247,0.584,10.86,7.679,0.908,52.358,0.676,0.252,0.594,0.038,0.038,0.671,0.729,31.339,3.958,5
4.63,1.346,8.467,3.6,6.539,0.709,7.986,5.647,0.929,58.797,0.598,0.355,0.487,0.066,0.066,0.816,0.815,17.926,2.994,3
4.492,1.35,8.0,3.46,5.563,0.742,8.125,5.745,0.938,67.417,0.667,0.237,0.55,0.113,0.113,0.8,0.789,11.842,2.433,4
4.778,1.522,11.25,6.76,8.229,0.8,7.589,5.367,0.95,81.965,0.678,0.279,0.557,0.082,0.082,0.902,0.882,13.235,2.572,3
4.85,1.363,10.0,4.387,8.303,0.75,6.708,4.743,0.934,58.271,0.6,0.271,0.667,0.042,0.042,0.875,1.0,13.0,2.55,3
